,Predictable end sentence,Unpredictable end sentence,Taget word,pred_num_letters,pred_end_n_LPC,pred_num_words,unpred_num_letters,unpred_end_n_LPC,unpred_num_words,delta_tletters,delta_words,phon_pred,phon_unpred
10,"Pendant la randonnée, les pieds de Lila lui faisaient plus mal à chaque pas.","Pendant la réunion, les enfants ont décidé de faire un pas.",pas,61,"20, except ['lila', 'faisaient'], check the cv for: {'pendant': 2, 'la': 1, 'randonnée': 3, 'les': 1, 'de': 1, 'lui': 2, 'plus': 2, 'mal': 2, 'pas': 1}",14,47,"19, check the cv for: {'pendant': 2, 'la': 1, 'les': 1, 'ont': 1, 'décidé': 3, 'de': 1, 'un': 1, 'pas': 1}",11,14,3,"p@-d@   la   R@-do-ne   le   p-je   d2   l-8i   p-ly   ma-l   a   Sa-k   pa   ,except ['lila', 'faisaient'], check the phon for: {'pendant': 'p@d@', 'la': 'la', 'randonnée': 'R@done', 'les': 'le', 'de': 'd2', 'lui': 'l8i', 'plus': 'ply', 'mal': 'mal', 'pas': 'pa'}","p@-d@   la   Re-y-n-j§   le   @-f@   §   de-si-de   d2   fE-R   1   pa   ,check the cv for: {'pendant': 'p@d@', 'la': 'la', 'les': 'le', 'ont': '§', 'décidé': 'deside', 'de': 'd2', 'un': '1', 'pas': 'pa'}"
11,"Thaïs étant en retard, elle n'arrêtait pas de regarder sa montre.","Elsa quittant l'entreprise, elle s'était vu offert une montre.",montre,53,"13, except ['retard', ""n'arrêtait"", 'regarder'], check the cv for: {'étant': 2, 'en': 1, 'pas': 1, 'de': 1, 'sa': 1, 'montre': 3}",11,52,"13, except ['elsa', ""l'entreprise"", ""s'était""], check the cv for: {'vu': 1, 'une': 2, 'montre': 3}",9,1,2,"ta-j   e-t@   @   E-l   pa   d2   sa   m§-t-R   ,except ['retard', ""n'arrêtait"", 'regarder'], check the phon for: {'étant': 'et@', 'en': '@', 'pas': 'pa', 'de': 'd2', 'sa': 'sa', 'montre': 'm§tR'}","ki-t@   E-l   vy   o-fE-R   y-n   m§-t-R   ,except ['elsa', ""l'entreprise"", ""s'était""], check the phon for: {'vu': 'vy', 'une': 'yn', 'montre': 'm§tR'}"
12,"Après sa blessure, le petit oiseau ne pouvait plus voler.","Pendant la nuit, le papillon avait recommencé à voler.",voler,46,"18, except ['petit'], check the cv for: {'après': 3, 'sa': 1, 'le': 1, 'plus': 2}",10,44,"14, except ['recommencé'], check the cv for: {'pendant': 2, 'la': 1, 'nuit': 2, 'le': 1, 'avait': 2}",9,2,1,"a-p-RE   sa   b-le-sy-R   l2   wa-zo   n2   pu-vE   p-ly   vo-le   ,except ['petit'], check the phon for: {'après': 'apRE', 'sa': 'sa', 'le': 'l2', 'plus': 'ply'}","p@-d@   la   n-8i   l2   pa-pi-j§   a-vE   a   vo-le   ,except ['recommencé'], check the phon for: {'pendant': 'p@d@', 'la': 'la', 'nuit': 'n8i', 'le': 'l2', 'avait': 'avE'}"
13,La couleur la plus associée à la colère est le rouge.,Le vieux voilier possède une grande voile rouge.,rouge,42,"20, check the cv for: {'la': 1, 'plus': 2, 'associée': 4, 'est': 1, 'le': 1, 'rouge': 2}",11,40,"20, check the cv for: {'le': 1, 'vieux': 2, 'une': 2, 'grande': 3, 'voile': 3, 'rouge': 2}",8,2,3,"la   ku-l9-R   la   p-ly   a-so-s-je   a   la   ko-lE-R   e   l2   Ru-Z   ,check the cv for: {'la': 'la', 'plus': 'ply', 'associée': 'asosje', 'est': 'e', 'le': 'l2', 'rouge': 'RuZ'}","l2   v-j2   v-wa-l-je   po-sE-d   y-n   g-R@-d   v-wa-l   Ru-Z   ,check the cv for: {'le': 'l2', 'vieux': 'vj2', 'une': 'yn', 'grande': 'gR@d', 'voile': 'vwal', 'rouge': 'RuZ'}"
14,Les tensions entre les pays pourraient se transformer en guerre.,Dans de nombreux villages de l'ouest se préparait une guerre.,guerre,54,"22, check the cv for: {'les': 1, 'entre': 3, 'en': 1}",10,51,"18, except [""l'ouest""], check the cv for: {'de': 1, 'une': 2}",10,3,0,"le   t@-s-j§   @-t-R   le   pe-i   pu-RE   s2   t-R@-s-fO-R-me   @   gE-R   ,check the cv for: {'les': 'le', 'entre': '@tR', 'en': '@'}","d@   d2   n§-b-R2   vi-la-Z   d2   s2   p-Re-pa-RE   y-n   gE-R   ,except [""l'ouest""], check the phon for: {'de': 'd2', 'une': 'yn'}"
15,Gaspard était perdu et ne savait pas quoi faire.,Léo était choqué car c'était une chose bizarre à faire.,faire,39,"18, check the cv for: {'était': 2, 'perdu': 3, 'pas': 1, 'quoi': 2}",9,45,"16, except ['léo', ""c'était""], check the cv for: {'était': 2, 'choqué': 2, 'car': 2, 'une': 2}",10,-6,-1,"ga-s-pa-R   e-tE   pE-R-dy   e   n2   sa-vE   pa   k-wa   fE-R   ,check the cv for: {'était': 'etE', 'perdu': 'pERdy', 'pas': 'pa', 'quoi': 'kwa'}","e-tE   So-ke   ka-R   y-n   So-z   bi-za-R   a   fE-R   ,except ['léo', ""c'était""], check the phon for: {'était': 'etE', 'choqué': 'Soke', 'car': 'kaR', 'une': 'yn'}"
16,La mère inquiète avait plusieurs bouches à nourrir.,Il avait des animaux difficiles à nourrir.,nourrir,43,"20, check the cv for: {'la': 1, 'inquiète': 4, 'avait': 2, 'plusieurs': 5, 'bouches': 2}",8,35,"16, check the cv for: {'il': 2, 'avait': 2, 'animaux': 3}",7,8,1,"la   mE-R   5-k-jE-t   a-vE   p-ly-z-j9-R   bu-S   a   nu-Ri-R   ,check the cv for: {'la': 'la', 'inquiète': '5kjEt', 'avait': 'avE', 'plusieurs': 'plyzj9R', 'bouches': 'buS'}","i-l   a-vE   de   a-ni-mo   di-fi-si-l   a   nu-Ri-R   ,check the cv for: {'il': 'il', 'avait': 'avE', 'animaux': 'animo'}"
17,Arielle a été licenciée et a désespérément besoin d'un emploi.,Arthur a cherché et a rapidement retrouver un emploi.,emploi,52,"22, except ['arielle', ""d'un""], check the cv for: {'a': 1, 'été': 2, 'licenciée': 4}",10,44,"11, except ['arthur', 'rapidement', 'retrouver'], check the cv for: {'a': 1, 'un': 1}",9,8,1,"a   e-te   li-s@-s-je   e   a   de-zE-s-pe-Re-m@   b2-z-w5   @-p-l-wa   ,except ['arielle', ""d'un""], check the phon for: {'a': 'a', 'été': 'ete', 'licenciée': 'lis@sje'}","a   SE-R-Se   e   a   1   @-p-l-wa   ,except ['arthur', 'rapidement', 'retrouver'], check the phon for: {'a': 'a', 'un': '1'}"
18,"En cuisinant, Luc s'est accidentellement coupé avec un couteau.","En rentrant, Chloé trouva sur la table son ancien couteau.",couteau,53,"13, except ['luc', ""s'est"", 'accidentellement'], check the cv for: {'en': 1, 'coupé': 2, 'un': 1}",9,47,"19, except ['chloé'], check the cv for: {'en': 1, 'rentrant': 3, 'sur': 2, 'la': 1, 'table': 3, 'son': 1, 'ancien': 3}",10,6,-1,"@   k-8i-zi-n@   ku-pe   a-vE-k   1   ku-to   ,except ['luc', ""s'est"", 'accidentellement'], check the phon for: {'en': '@', 'coupé': 'kupe', 'un': '1'}","@   R@-t-R@   t-Ru-va   sy-R   la   ta-b-l   s§   @-s-j5   ku-to   ,except ['chloé'], check the phon for: {'en': '@', 'rentrant': 'R@tR@', 'sur': 'syR', 'la': 'la', 'table': 'tabl', 'son': 's§', 'ancien': '@sj5'}"
19,Gille préfère les films drôles qui le font rire.,Alice lit un livre qui la fait rire.,rire,39,"16, except ['gille'], check the cv for: {'les': 1, 'drôles': 3, 'qui': 1, 'le': 1, 'rire': 2}",9,28,"10, except ['alice'], check the cv for: {'lit': 1, 'un': 1, 'livre': 3, 'qui': 1, 'la': 1, 'fait': 1, 'rire': 2}",8,11,1,"p-Re-fE-R   le   fi-l-m   d-Ro-l   ki   l2   f§   Ri-R   ,except ['gille'], check the phon for: {'les': 'le', 'drôles': 'dRol', 'qui': 'ki', 'le': 'l2', 'rire': 'RiR'}","li   1   li-v-R   ki   la   fE   Ri-R   ,except ['alice'], check the phon for: {'lit': 'li', 'un': '1', 'livre': 'livR', 'qui': 'ki', 'la': 'la', 'fait': 'fE', 'rire': 'RiR'}"
20,"Après avoir soumis le papier, Lucie a réalisé qu'elle avait fait une erreur.","Avant de lui répondre, Louis a regardé si le document comportait une erreur.",erreur,62,"26, except ['lucie', ""qu'elle""], check the cv for: {'après': 3, 'avoir': 4, 'soumis': 2, 'le': 1, 'a': 1, 'réalisé': 4, 'avait': 2, 'fait': 1, 'une': 2}",13,62,"26, except ['regardé'], check the cv for: {'avant': 2, 'de': 1, 'lui': 2, 'louis': 2, 'a': 1, 'si': 1, 'le': 1, 'une': 2}",13,0,0,"a-p-RE   a-v-wa-R   su-mi   l2   pa-p-je   a   Re-a-li-ze   a-vE   fE   y-n   E-R9-R   ,except ['lucie', ""qu'elle""], check the phon for: {'après': 'apRE', 'avoir': 'avwaR', 'soumis': 'sumi', 'le': 'l2', 'a': 'a', 'réalisé': 'Realize', 'avait': 'avE', 'fait': 'fE', 'une': 'yn'}","a-v@   d2   l-8i   Re-p§-d-R   l-wi   a   si   l2   do-ky-m@   k§-pO-R-tE   y-n   E-R9-R   ,except ['regardé'], check the phon for: {'avant': 'av@', 'de': 'd2', 'lui': 'l8i', 'louis': 'lwi', 'a': 'a', 'si': 'si', 'le': 'l2', 'une': 'yn'}"
21,"Selon la Bible, le meurtre est un péché.","Dans leur culture, le mensonge est un péché.",péché,31,"13, except ['selon'], check the cv for: {'la': 1, 'le': 1, 'est': 1, 'un': 1, 'péché': 2}",8,35,"15, check the cv for: {'leur': 2, 'le': 1, 'est': 1, 'un': 1, 'péché': 2}",8,-4,0,"la   bi-b-l   l2   m9-R-t-R   e   1   pe-Se   ,except ['selon'], check the phon for: {'la': 'la', 'le': 'l2', 'est': 'e', 'un': '1', 'péché': 'peSe'}","d@   l9-R   ky-l-ty-R   l2   m@-s§-Z   e   1   pe-Se   ,check the cv for: {'leur': 'l9R', 'le': 'l2', 'est': 'e', 'un': '1', 'péché': 'peSe'}"
22,"Après s'être lavé les mains, Kevin les a séchées avec une serviette.","Après le tournoi de tennis, Nathan lui a donné une petite serviette.",serviette,55,"21, except [""s'être"", 'kevin'], check the cv for: {'après': 3, 'lavé': 2, 'les': 1, 'a': 1, 'une': 2}",12,55,"24, except ['nathan', 'petite'], check the cv for: {'après': 3, 'le': 1, 'de': 1, 'lui': 2, 'a': 1, 'donné': 2, 'une': 2}",12,0,0,"a-p-RE   la-ve   le   m5   le   a   se-Se   a-vE-k   y-n   sE-R-v-jE-t   ,except [""s'être"", 'kevin'], check the phon for: {'après': 'apRE', 'lavé': 'lave', 'les': 'le', 'a': 'a', 'une': 'yn'}","a-p-RE   l2   tu-R-n-wa   d2   te-ni-s   l-8i   a   do-ne   y-n   sE-R-v-jE-t   ,except ['nathan', 'petite'], check the phon for: {'après': 'apRE', 'le': 'l2', 'de': 'd2', 'lui': 'l8i', 'a': 'a', 'donné': 'done', 'une': 'yn'}"
23,Les hommes ont failli tomber dans le trou qu'ils avaient creusé.,Les soldats passaient toujours par le chemin qu'ils avaient creusé.,creusé,53,"17, except [""qu'ils""], check the cv for: {'les': 1, 'ont': 1, 'failli': 2, 'le': 1, 'avaient': 2}",11,57,"17, except ['chemin', ""qu'ils""], check the cv for: {'les': 1, 'par': 2, 'le': 1, 'avaient': 2}",10,-4,1,"le   O-m   §   fa-ji   t§-be   d@   l2   t-Ru   a-vE   k-R2-ze   ,except [""qu'ils""], check the phon for: {'les': 'le', 'ont': '§', 'failli': 'faji', 'le': 'l2', 'avaient': 'avE'}","le   sO-l-da   pa-sE   tu-Zu-R   pa-R   l2   a-vE   k-R2-ze   ,except ['chemin', ""qu'ils""], check the phon for: {'les': 'le', 'par': 'paR', 'le': 'l2', 'avaient': 'avE'}"
24,La fille qui a perdu s'est plaint que la compétition n'était pas juste.,La femme qui vient d'arriver pense que cette organisation n'est pas juste.,juste,58,"21, except [""s'est"", ""n'était""], check the cv for: {'la': 1, 'qui': 1, 'a': 1, 'perdu': 3, 'que': 1, 'pas': 1, 'juste': 3}",13,62,"22, except [""d'arriver"", ""n'est""], check the cv for: {'la': 1, 'qui': 1, 'que': 1, 'pas': 1, 'juste': 3}",12,-4,1,"la   fi-j   ki   a   pE-R-dy   p-l5   k2   la   k§-pe-ti-s-j§   pa   Zy-s-t   ,except [""s'est"", ""n'était""], check the phon for: {'la': 'la', 'qui': 'ki', 'a': 'a', 'perdu': 'pERdy', 'que': 'k2', 'pas': 'pa', 'juste': 'Zyst'}","la   fa-m   ki   v-j5   p@-s   k2   sE-t   O-R-ga-ni-za-s-j§   pa   Zy-s-t   ,except [""d'arriver"", ""n'est""], check the phon for: {'la': 'la', 'qui': 'ki', 'que': 'k2', 'pas': 'pa', 'juste': 'Zyst'}"
25,Chris dit que son chien avait toujours été son meilleur ami.,Julia avait toujours aimé se promener avec son ami.,ami,49,"19, except ['chris'], check the cv for: {'dit': 1, 'que': 1, 'son': 1, 'avait': 2, 'été': 2, 'meilleur': 4, 'ami': 2}",11,42,"18, except ['julia'], check the cv for: {'avait': 2, 'aimé': 2, 'son': 1, 'ami': 2}",9,7,2,"di   k2   s§   S-j5   a-vE   tu-Zu-R   e-te   s§   mE-j-9-R   a-mi   ,except ['chris'], check the phon for: {'dit': 'di', 'que': 'k2', 'son': 's§', 'avait': 'avE', 'été': 'ete', 'meilleur': 'mEj9R', 'ami': 'ami'}","a-vE   tu-Zu-R   e-me   s2   p-RO-m-ne   a-vE-k   s§   a-mi   ,except ['julia'], check the phon for: {'avait': 'avE', 'aimé': 'eme', 'son': 's§', 'ami': 'ami'}"
26,Ils ont cherché le voleur mais il avait déjà disparu.,Elles étaient venu voir le maire mais il avait encore disparu.,parti/disparu,43,"21, check the cv for: {'ont': 1, 'le': 1, 'voleur': 3, 'mais': 1, 'il': 2, 'avait': 2, 'déjà': 2, 'disparu': 4}",10,51,"22, except ['venu'], check the cv for: {'étaient': 2, 'le': 1, 'mais': 1, 'il': 2, 'avait': 2, 'disparu': 4}",11,-8,-1,"i-l   §   SE-R-Se   l2   vo-l9-R   mE   i-l   a-vE   de-Za   di-s-pa-Ry   ,check the cv for: {'ont': '§', 'le': 'l2', 'voleur': 'vol9R', 'mais': 'mE', 'il': 'il', 'avait': 'avE', 'déjà': 'deZa', 'disparu': 'dispaRy'}","E-l   e-tE   v-wa-R   l2   mE-R   mE   i-l   a-vE   @-kO-R   di-s-pa-Ry   ,except ['venu'], check the phon for: {'étaient': 'etE', 'le': 'l2', 'mais': 'mE', 'il': 'il', 'avait': 'avE', 'disparu': 'dispaRy'}"
27,Eric avait acheté son chien alors que celui-ci était encore un chiot.,Romain est parti en vacances alors qu'il vient d'acheter un chiot.,chiot,57,"18, except ['eric', 'acheté', 'celui'], check the cv for: {'avait': 2, 'son': 1, 'que': 1, 'était': 2, 'un': 1}",13,55,"18, except [""qu'il"", ""d'acheter""], check the cv for: {'romain': 2, 'est': 1, 'parti': 3, 'en': 1, 'un': 1}",11,2,2,"a-vE   s§   S-j5   a-lO-R   k2   si   e-tE   @-kO-R   1   S-jo   ,except ['eric', 'acheté', 'celui'], check the phon for: {'avait': 'avE', 'son': 's§', 'que': 'k2', 'était': 'etE', 'un': '1'}","Ro-m5   e   pa-R-ti   @   va-k@-s   a-lO-R   v-j5   1   S-jo   ,except [""qu'il"", ""d'acheter""], check the phon for: {'romain': 'Rom5', 'est': 'e', 'parti': 'paRti', 'en': '@', 'un': '1'}"
28,Lisa a dit que la valise semblait peser une tonne.,Pablo pense que cet espace peut en stocker une tonne.,tonne,40,"16, except ['lisa'], check the cv for: {'a': 1, 'dit': 1, 'que': 1, 'la': 1, 'une': 2, 'tonne': 2}",10,43,"18, except ['pablo'], check the cv for: {'que': 1, 'espace': 4, 'en': 1, 'une': 2, 'tonne': 2}",10,-3,0,"a   di   k2   la   va-li-z   s@-b-lE   p2-ze   y-n   tO-n   ,except ['lisa'], check the phon for: {'a': 'a', 'dit': 'di', 'que': 'k2', 'la': 'la', 'une': 'yn', 'tonne': 'tOn'}","p@-s   k2   sE-t   E-s-pa-s   p2   @   s-to-ke   y-n   tO-n   ,except ['pablo'], check the phon for: {'que': 'k2', 'espace': 'Espas', 'en': '@', 'une': 'yn', 'tonne': 'tOn'}"
29,Personne n'a ri parce qu'ils n'avaient pas compris la blague.,Elle ne l'écoutait plus car il racontait la même blague.,blague,51,"16, except [""n'a"", ""qu'ils"", ""n'avaient""], check the cv for: {'personne': 4, 'ri': 1, 'pas': 1, 'compris': 3, 'la': 1, 'blague': 3}",10,46,"18, except [""l'écoutait""], check the cv for: {'plus': 2, 'car': 2, 'il': 2, 'la': 1, 'même': 2, 'blague': 3}",10,5,0,"pE-R-sO-n   Ri   pa-R-s   pa   k§-p-Ri   la   b-la-g   ,except [""n'a"", ""qu'ils"", ""n'avaient""], check the phon for: {'personne': 'pERsOn', 'ri': 'Ri', 'pas': 'pa', 'compris': 'k§pRi', 'la': 'la', 'blague': 'blag'}","E-l   n2   p-ly   ka-R   i-l   Ra-k§-tE   la   mE-m   b-la-g   ,except [""l'écoutait""], check the phon for: {'plus': 'ply', 'car': 'kaR', 'il': 'il', 'la': 'la', 'même': 'mEm', 'blague': 'blag'}"
30,Le visage du bébé s'est crispé quand il a mangé quelque chose d'acide.,Les invités étaient surpris quand il leur a servi un plat acide.,acide,57,"22, except [""s'est"", ""d'acide""], check the cv for: {'le': 1, 'quand': 1, 'il': 2, 'a': 1, 'quelque': 3}",13,52,"25, check the cv for: {'les': 1, 'invités': 3, 'étaient': 2, 'surpris': 4, 'quand': 1, 'il': 2, 'leur': 2, 'a': 1, 'servi': 3, 'un': 1, 'plat': 2, 'acide': 3}",12,5,1,"l2   vi-za-Z   dy   be-be   k-Ri-s-pe   k@   i-l   a   m@-Ze   kE-l-k   So-z   ,except [""s'est"", ""d'acide""], check the phon for: {'le': 'l2', 'quand': 'k@', 'il': 'il', 'a': 'a', 'quelque': 'kElk'}","le   5-vi-te   e-tE   sy-R-p-Ri   k@   i-l   l9-R   a   sE-R-vi   1   p-la   a-si-d   ,check the cv for: {'les': 'le', 'invités': '5vite', 'étaient': 'etE', 'surpris': 'syRpRi', 'quand': 'k@', 'il': 'il', 'leur': 'l9R', 'a': 'a', 'servi': 'sERvi', 'un': '1', 'plat': 'pla', 'acide': 'asid'}"
