Predictable end sentence,Unpredictable end sentence,Taget word
Les hommes ont failli tomber dans le trou qu'ils avaient creusé.,Les soldats passaient toujours par le chemin qu'ils avaient creusé.,creusé
La fille qui a perdu s'est plaint que la compétition n'était pas juste.,La femme qui vient d'arriver pense que cette organisation n'est pas juste.,juste
Chris dit que son chien avait toujours été son meilleur ami.,Julia avait toujours aimé se promener avec son ami.,ami
Ils ont cherché le voleur mais il avait déjà disparu.,Elles étaient venu voir le maire mais il avait encore disparu.,parti/disparu
Eric avait acheté son chien alors que celui-ci était encore un chiot.,Romain est parti en vacances alors qu'il vient d'acheter un chiot.,chiot
Lisa a dit que la valise semblait peser une tonne.,Pablo pense que cet espace peut en stocker une tonne.,tonne
Personne n'a ri parce qu'ils n'avaient pas compris la blague.,Elle ne l'écoutait plus car il racontait la même blague.,blague
Le visage du bébé s'est crispé quand il a mangé quelque chose d'acide.,Les invités étaient surpris quand il leur a servi un plat acide.,acide
Le pêcheur a facilement mis l'appât sur l'hameçon.,L'étudiant est rapidement allé s'acheter un nouvel hameçon.,hameçon
Claire a emménagé dans son appartement peu après avoir signé le contrat.,Sacha a vite demandé un rendez-vous après avoir relu son contrat.,contrat/bail
"Sales et usées, les bottes de pluie étaient couvertes de boue.","Nettoyé et rangé, le balcon ne comportait plus de traces de boue.",boue
Le policier est entré dans le bâtiment et a montré son badge.,L'enfant a perdu la course mais a reçu un badge.,badge
L'événement de déstockage dans tout le magasin a attiré une immense foule.,La boutique d'antiquité était dans une rue épargnée par la foule.,foule
Manon était triste de voir que son poisson rouge était mort.,Dina était surprise d'appendre que Valentin était mort.,mort
Elle a dit à son petit ami barbu qu'il devait se raser.,Elle a dit à son frère qu'il devait vraiment se raser.,raser
L'enseignant avait peur des microbes et de tomber malade.,Il est venu dans la chambre et est maintenant malade.,malade
Il avait donné vingt euros après avoir perdu le pari.,Il est parti en vacances après avoir gagner un pari.,pari
Albert vivait dans une hutte en chaume qu'il avait lui-même construite.,Hugo regardait la grande fontaine que sa grand-mère avait construite.,construite
Le randonneur ne savait pas qu'il avait marché si loin.,La dame supposait qu'ils étaient allé trop loin.,loin
"Avec des vêtements éparpillés partout, sa chambre était en désordre.","Après l'élection municipale, toute la ville était en désordre.",désordre
Thomas a ouvert la porte après avoir tiré de toutes ses forces.,Emma est entrée après avoir rassemblé ses dernières forces.,forces
Robert pourrait réparer le vélo s'il avait les bons outils.,Elle doit encore apprendre à utiliser les bons outils.,outils
"Après trois semaines, il y avait une pile de vêtements sales à laver.","Après quelques mois, ils ont recruté un homme pour tout laver.",laver
Daniel était contrarié que son équipe de basket n'ait pas gagné.,Camille était troublée qu'on lui dise qu'elle avait gagné.,gagné
L'enfant a pleuré quand elle a été piquée par une abeille.,Le visiteur était content quand il a deviné l'espèce de l'abeille.,abeille
Le pêcheur aimait passer ses journées sur son bateau.,L'équipe s'est entrainée de longues semaines sur son bateau.,bateau
La petite fille a trébuché et s'est immédiatement mise à pleurer.,Le petit garçon était assis et s'est tout d'un coup mis à pleurer.,pleurer
"Pour honorer la mort de son collègue, Kim a assisté à son enterrement.","Pour aider la famille de sa femme, Diego a organisé l'enterrement.",enterrement
Le nouveau président estime que personne ne devrait vivre dans la pauvreté.,L'homme lui a dit que son enfance s'était déroulée dans la pauvreté.,pauvreté
"Dans de nombreuses phrases, le nom est suivi d'un verbe.","Dans cette phrase, la parenthèse est suivie d'un verbe.",verbe
