,target,prob_x,number_x,entropy_x,pred_x,sentence_p,prob_y,number_y,entropy_y,pred_y,sentence_u,diff
8,badge,0.696969696969697,23,6,1,"Pour entrer dans la maison, l'inspecteur a dû montrer son",0.0,0,12,0,"Pour avoir participé à la course, l'enfant a reçu un",0.696969696969697
15,faire,0.7096774193548387,22,5,1,Gaspard était perdu et ne savait pas quoi,0.0,0,21,0,Léo était choqué devant cette chose étrange à,0.7096774193548387
16,nourrir,0.7419354838709677,23,7,1,La mère inquiète avait plusieurs bouches à,0.030303030303030304,1,17,0,Mon frère possédait des animaux difficiles à,0.7116324535679375
13,rouge,0.8064516129032258,25,4,1,La couleur la plus associée à la colère est le,0.030303030303030304,1,10,0,Sa nouvelle chambre a un mur entièrement peint en,0.7761485826001955
6,dent,0.8387096774193549,26,6,1,La petite fille était contente de perdre sa première,0.06060606060606061,2,16,0,Le pauvre homme s'inquiétait toujours de perdre une nouvelle,0.7781036168132942
19,rire,0.9354838709677419,29,3,1,Gilles préfère les films comiques qui le font,0.15151515151515152,5,12,0,Alice lit un vieux roman d'aventure qui la fait,0.7839687194525904
11,montre,0.9354838709677419,29,3,1,Thais était en retard et n'arrêtait pas de regarder sa,0.15151515151515152,5,18,0,Elsa était tombée par terre et avait encore cassé sa,0.7839687194525904
4,acide,0.7878787878787878,26,7,1,Le jus de citron est très,0.0,0,13,0,Ce plat est beaucoup trop,0.7878787878787878
21,abeille,0.8181818181818182,27,3,1,En s'approchant d'une ruche elle a été piquée par une,0.0,0,25,0,En regardant son livre il a deviné l'espèce de,0.8181818181818182
7,boue,0.8181818181818182,27,5,1,"Après une ballade dans les champs, mes bottes étaient couvertes de",0.0,0,14,0,"Après avoir été lavé, le col n'était plus taché de",0.8181818181818182
11,raser,0.8181818181818182,27,6,1,Elle a suggéré à son petit ami barbu de se,0.0,0,14,0,Il a dit à son frère qu'il devait vraiment se,0.8181818181818182
9,foule,0.8181818181818182,27,7,1,L'annonce de soldes très importantes a attiré une immense,0.0,0,12,0,La boutique d'accessoires était dans un quartier éloigné de la,0.8181818181818182
2,tonne,0.9090909090909091,30,3,1,L'énorme valise semblait peser une,0.06451612903225806,2,19,0,Cet espace peut en stocker une,0.8445747800586509
15,vite,0.8787878787878788,29,3,1,Pour arriver à temps il aurait dû marcher plus,0.03225806451612903,1,20,0,"Pour ne pas avoir faim, il aurait dû manger plus",0.8465298142717498
20,gagne,0.8484848484848485,28,6,1,Kevin était deçu que son équipe de basket n'ait pas,0.0,0,24,0,Camille était très surprise que son mari n'ait pas,0.8484848484848485
2,chaude,0.8709677419354839,27,2,1,Faites attention à ne pas toucher la poêle quand elle est,0.0,0,21,0,Attendons-nous à ce que cette maison ne soit pas vraiment,0.8709677419354839
26,chat,0.9090909090909091,30,3,1,J'ai entendu miauler un,0.03225806451612903,1,22,0,Je suis allé acheter un,0.8768328445747801
17,forces,0.8787878787878788,29,4,1,"Pour ouvrir la porte, Thomas a tiré de toutes ses",0.0,0,21,0,"Pour réussir à l'examen, Emma ne manquait pas de",0.8787878787878788
22,bateau,0.8787878787878788,29,5,1,Le pêcheur aimait passer la journée en mer sur son,0.0,0,16,0,L'équipe s'est entrainée de très longues semaines sur son,0.8787878787878788
10,pas,0.9032258064516129,28,2,1,"Pendant la randonnée, les pieds de Lila lui faisaient plus mal à chaque",0.0,0,21,0,"Pendant la réunion, les enfants de sa sœur ont décidé de faire un",0.9032258064516129
0,amoureux,0.9354838709677419,29,3,1,Les deux étudiants se sont rencontrés et sont rapidement tombés,0.030303030303030304,1,17,0,Les deux voisins ont discuté et ont compris qu'ils étaient,0.9051808406647116
19,laver,0.9090909090909091,30,4,1,"Après deux semaines, il y avait plein de vêtements sales à",0.0,0,13,0,"Après quelques mois, ils ont engagé un homme pour tout",0.9090909090909091
22,serviette,0.9354838709677419,29,2,1,"Après s'être lavé les mains, Nathan les a séchées avec une",0.0,0,21,0,"Dès leur retour à la maison, Valentin lui a donné une",0.9354838709677419
14,guerre,0.967741935483871,30,2,1,Les tensions entre les pays pourraient aboutir à la,0.030303030303030304,1,17,0,Les marchands de légumes n'ont pas l'habitude de faire la,0.9374389051808407
10,mort,0.9393939393939394,31,3,1,Manon a été triste de découvrir que son poisson rouge était,0.0,0,13,0,Dina a été surprise d'apprendre que son meilleur ami était,0.9393939393939394
1,chiot,0.9393939393939394,31,3,1,Un très jeune chien s'appelle un,0.0,0,22,0,Dans cette boite se cache un,0.9393939393939394
12,malade,0.9393939393939394,31,3,1,Il avait peur des microbes et craignait de tomber,0.0,0,24,0,Il est entré dans cette chambre et est maintenant,0.9393939393939394
18,couteau,0.967741935483871,30,2,1,"En cuisinant, Luc s'est coupé le doigt avec un",0.0,0,22,0,"En rentrant, Léa trouva sur la table son vieux",0.967741935483871
5,nuit,0.967741935483871,30,2,1,Les faux jumeaux étaient aussi différents que le jour et la,0.0,0,19,0,Elles aimaient beaucoup la liberté que leur offrait la,0.967741935483871
24,enterrement,0.9696969696969697,32,2,1,"Pour honorer la mort de son collègue, Kim a assisté à son",0.0,0,21,0,"Pour aider la famille de sa femme, Diego a organisé tout",0.9696969696969697
