Predictable sentences,prob_x,Unpredictable sentences,prob_y,target,diff of prob
Pour arriver à temps il aurait dû marcher plus,0.878787879,"Pour ne pas avoir faim, il aurait dû manger plus",0.032258065,vite,0.846529814
Kevin était deçu que son équipe de basket n'ait pas,0.848484848,Camille était très surprise que son mari n'ait pas,0,gagne,0.848484848
"Pour rendre son café moins amer, elle a mis un morceau de",1,"Pour améliorer cette recette, il faudrait ajouter un peu de",0.129032258,sucre,0.870967742
Après cette grosse bêtise il rougit de,0.870967742,"L'après-midi, il su pourquoi il avait",0,honte,0.870967742
Faites attention à ne pas toucher la poêle quand elle est,0.870967742,Attendons-nous à ce que cette maison ne soit pas vraiment,0,chaude,0.870967742
J'ai entendu miauler un,0.909090909,Je suis allé acheter un,0.032258065,chat,0.876832845
Le pêcheur aimait passer la journée en mer sur son,0.878787879,L'équipe s'est entrainée de très longues semaines sur son,0,bateau,0.878787879
"Pour ouvrir la porte, Thomas a tiré de toutes ses",0.878787879,"Pour réussir à l'examen, Emma ne manquait pas de",0,forces,0.878787879
"Pendant la randonnée, les pieds de Lila lui faisaient plus mal à chaque",0.903225806,"Pendant la réunion, les enfants de sa sœur ont décidé de faire un",0,pas,0.903225806
Dès la première goutte de pluie elle a ouvert son,0.903225806,Dès son arrivée dans le grand magasin elle s'est acheté un,0,parapluie,0.903225806
Les deux étudiants se sont rencontrés et sont rapidement tombés,0.935483871,Les deux voisins ont discuté et ont compris qu'ils étaient,0.03030303,amoureux,0.905180841
"Après deux semaines, il y avait plein de vêtements sales à",0.909090909,"Après quelques mois, ils ont engagé un homme pour tout",0,laver,0.909090909
Elle a emporté son nouvel appareil pour prendre de belles,0.921052632,Son père avait dans le temps une incroyable collection de,0,photos,0.921052632
Le petit garçon mange son steak avec un couteau et une,0.935483871,La vieille femme met dans son sac un petit briquet et une,0,fourchette,0.935483871
Sa vue a diminué et elle doit acheter une nouvelle paire de,0.935483871,Il aime le commerce et a décidé d'ouvrir un magasin de,0,lunettes,0.935483871
Il va acheter des actions cotées en,0.935483871,Elle n'est encore jamais passée devant la,0,bourse,0.935483871
"Après s'être lavé les mains, Nathan les a séchées avec une",0.935483871,"Dès leur retour à la maison, Valentin lui a donné une",0,serviette,0.935483871
Les tensions entre les pays pourraient aboutir à la,0.967741935,Les marchands de légumes n'ont pas l'habitude de faire la,0.03030303,guerre,0.937438905
Il avait peur des microbes et craignait de tomber,0.939393939,Il est entré dans cette chambre et est maintenant,0,malade,0.939393939
Un très jeune chien s'appelle un,0.939393939,Dans cette boite se cache un,0,chiot,0.939393939
Manon a été triste de découvrir que son poisson rouge était,0.939393939,Dina a été surprise d'apprendre que son meilleur ami était,0,mort,0.939393939
Les faux jumeaux étaient aussi différents que le jour et la,0.967741935,Elles aimaient beaucoup la liberté que leur offrait la,0,nuit,0.967741935
"En cuisinant, Luc s'est coupé le doigt avec un",0.967741935,"En rentrant, Léa trouva sur la table son vieux",0,couteau,0.967741935
"Pour honorer la mort de son collègue, Kim a assisté à son",0.96969697,"Pour aider la famille de sa femme, Diego a organisé tout",0,enterrement,0.96969697
"Au printemps dans le jardin, son père tondait la",1,"En été à la mer, les enfants jouaient sur la",0,pelouse,1
Il voulait travailler pour mon entreprise et n'a pas hésité à signer le,1,Elle a eu la bonne idée de le rappeler après avoir étudié son,0,contrat,1
