חותמת זמן,,Est-ce que le français est votre langue maternelle ?,Quel est votre sexe ?,Quel est votre âge ?,Quel est le plus haut diplôme que vous ayez obtenu?,Les deux voisins ont discuté et ont compris qu'ils étaient,"Toutes les semaines, le médecin reçoit cette femme avec son vieux",Attendons-nous à ce que cette maison ne soit pas vraiment,Parler à Ines vous éclairera sur son,Les cuisiniers ne savaient plus comment ils s'étaient,Elles aimaient beaucoup la liberté que leur offrait la,Le pauvre homme s'inquiétait toujours de perdre une nouvelle,"Pour se réchauffer, il a mis une couverture très","Avec le poisson, la sauce n'était pas très","De leur chambre, les enfants entendaient bien les bruits de la","Pendant la réunion, les enfants de sa sœur ont décidé de faire un",Elsa était tombée par terre et avait encore cassé sa,Un scarabée est sorti du sac et a commencé à,Sa nouvelle chambre a un mur entièrement peint en,Les marchands de légumes n'ont pas l'habitude de faire la,Léo était choqué devant cette chose étrange à,Mon frère possédait des animaux difficiles à,Arthur a cherché et a rapidement retrouvé un,"En rentrant, Léa trouva sur la table son vieux",Alice lit un vieux roman d'aventure qui la fait,"Avant de répondre, Louis a regardé si le résumé comportait une","Dans leur culture, la curiosité avait toujours été un","Dès leur retour à la maison, Valentin lui a donné une",Les soldats passent toujours par le chemin qu'ils ont,"La comptable venait d'arriver, et pensait que son salaire n'était pas",Julia était de nouveau partie en vacances avec son,Ils ont cherché le voleur mais celui-ci avait déjà,Un très jeune chien s'appelle un,L'énorme valise semblait peser une,J'ai caché ses clés pour lui faire une mauvaise,Le jus de citron est très,Le pêcheur a accroché un ver de terre sur l',Il voulait travailler pour mon entreprise et n'a pas hésité à signer le,"Après une ballade dans les champs, mes bottes étaient couvertes de","Pour entrer dans la maison, l'inspecteur a dû montrer son",L'annonce de soldes très importantes a attiré une immense,Manon a été triste de découvrir que son poisson rouge était,Elle a suggéré à son petit ami barbu de se,Il avait peur des microbes et craignait de tomber,La fillette a reçu ce cadeau pour son,Albert vivait dans une cabane qu'il avait lui-même,Pour arriver à temps il aurait dû marcher plus,"Avec des vêtements éparpillés partout, sa chambre était en","Pour ouvrir la porte, Thomas a tiré de toutes ses",Robert pourrait réparer le vélo s'il avait de meilleurs,"Après deux semaines, il y avait plein de vêtements sales à",Kevin était deçu que son équipe de basket n'ait pas,En s'approchant d'une ruche elle a été piquée par une,Le pêcheur aimait passer la journée en mer sur son,La petite fille s'est cognée et s'est immédiatement mise à,"Pour honorer la mort de son collègue, Kim a assisté à son",Il apprécie la richesse car il a grandi dans la,J'ai entendu miauler un
9/3/2022 11:59,,Oui,Femme,18 - 25,Master ou équivalent,D’accord,Chien,Hantée,Opinion,Coupés,Voiture,Fois,Epaisse,Assortie,Cuisine,esclandre,Montre,Grimper,Rose,Manche,Observer,Domestiquer,Appartement,Carnet,Voyager,Indication,Défaut,Récompense,Planifié,Adéquat,Ami,Parti,Chiot,Tonne,Surprise,Acide,Hameçon,Contrat,Boue,Insigne,Foule,Mort,Raser,Malade,Anniversaire,Construit,Vite,Chantier,Forces,Outils,Laver,Gagné,Abeille,Bateau,Pleurer,Enterrement,Pauvreté,Chat
9/3/2022 22:35,,Oui,Femme,18 - 25,Master ou équivalent,Voisins,Chapeau,Belle,Opinion,Approvisionnés,Mer,Fois,Épaisse,Bonne,Mer,spectacle,Jambe,Grimper,Blanc,Police,Prendre,Garder,Remède,Carnet,Rêver,Erreur,Défaut,Leçon,Repéré,Compté,Copain,Parti,Chiot,Tonne,Frayeur,Acide,Sa canne,Contrat,Boue,Badge,Foule,Mort,Raser,Malade,Anniversaire,Construite,Vite,Désordre,Forces,Outils,Laver,Gagné,Abeille,Bateau,Pleurer,Enterrement,Pauvreté,Chat
10/3/2022 10:07,,Oui,Femme,26 - 35,Master ou équivalent,Cousins,mari,Insonorisée,Parcours,Organisés,Campagne,Amie,Épaisse,Bonne,Dispute,Jeu,Chaîne,Grimper,Noir,Charcuterie,Manger,Apprivoiser,Indice,Journal,Rêver,Introduction,Défaut,Claque,Baliser,Fixer,Copain,Disparu,Chiot,Tonne,Farce,Acide,Ligne,Contrat,Boue,Insigne,Foule,Mort,Raser,Malade,Anniversaire,Fabriquer,Vite,Pagaille,Forces,Outils,Laver,Gagner,Abeille,Bateau,Pleurer,Enterrement,Pauvreté,Chat
10/3/2022 10:10,,Oui,Homme,26 - 35,Doctorat,Frères,mari,Propre,Avis,Coupés,Prison,Fille,Epaisse,Forte,Voisine,enfant,Valise,Voler,Rose,Manche,Franges,Dompter,Appartement,Revolver,Fremir,Consigne,Defaut,Sucette,Tracé,Bon,Copain,Disparu,Clebard,Tonne,Blague,Acide,L’hamecon,Contrat,Boue,Badge,Foule,Mort,Raser,Malade,Diplome,Construite,Vite,Bazar,Forces,Outils,Laver,Gagne,Abeille,Bateau,Pleurer,Enterrement,Pauvrete,Chat
10/3/2022 10:15,,Oui,Femme,26 - 35,Master ou équivalent,Pareils,Chien,Agréable à vivre,Avenir,Perdus,Vie,Dent,Chaude,Bonne,Salle à manger,mechoui,Paire de lunette,Brouter,Rouge,Monnaie,Lire,Gérer,Appartement,Journal intime,Rêver,Reduction,Handicap,Claque,Décides,Ajuster à sa prestation,Chéri,Fui,Chiot,Tonne,Blague,Bon,Sa canne à pêche,Contrat de confidentialité,Boue,Badge,Foule,Mort,Raser,Malade,Anniversaire,Fabrique,Vite,Bordel,Force,Moyens,Laver,D’ambition,Abeille,Bateau,Pleurer,Enterrement,Pauvreté,Chat
10/3/2022 10:27,,Oui,Femme,26 - 35,Master ou équivalent,Frères,père,Propre,Moral,Rencontrés,Nourriture,Amie,Chaude,Bonne,Télévision,Goûter,Jambe,Voler,Vert,Causette,Epines,Dreesser,Appartement,Agenda,Voyager,Erreur,Défaut,Gifle,Emprunté,Viré,Compagnon,Disparu,Chiot,Tonne,Blague,Acide,L'hameçon,Contrat,Boue,Badge,Foule,Mort,Raser,Malade,Anniversaire,Aménagé,Vite,Désordre,Forces,Outils,Laver,Gagné,Abeille,Bateau,Pleurer,Enterrement,Pauvreté,Chat
10/3/2022 10:32,,Oui,Femme,26 - 35,Doctorat,Collègues,Chien,Adaptée,Tempérament,Rencontrés,Voiture,Fois,Epaisse,Adaptée,Cuisine,spectacle,Coque de téléphone,Voler,Rose,Manche,Regarder,Domestiquer,Appartement,Jean,S’évader,Faute,Défaut,Compote,Creusé,Adéquat,Copain,Disparu,Chiot,Tonne,Blague,Acide,Le hameçon,Contrat,Boue,Badge,Foule,Mort,Raser,Malade,Anniversaire,Construite,Vite,Désordre,Forces,Outils,Laver,Gagne,Abeille,Bateau,Pleurer,Enterrement,Frustration,Chat
10/3/2022 11:14,,Oui,Femme,18 - 25,"BTS, DUT, licence ou équivalent",potes,père,rangée,orientation,pris,directrice,chaussure,chaude,bonne,rue,jeu,jambe,voler,jaune,manche,Paris,dresser,chien,téléphone,rêver,phrase,défaut,sucette,creusé,assez,copain,disparu,chiot,tonne,blague,acide,l'hameçon,contrat,boue,badge,foule,mort,raser,malade,anniversaire,construit,rapidement,bazar,forces,outils,laver,gagné,abeille,bâteau,pleurer,enterrement,pauvreté,chat
10/3/2022 11:37,,Oui,Homme,18 - 25,Master ou équivalent,Amis,père,Construite,Chemin,Débrouillés,Vie,Amie,Chaude,Bonne,Maison,cadeau,Jambe,Voler,Bleu,Manche,Sa droite,Capturer,Travail,PC,Frissonner,Introduction,Defauty,Suprise,Emprunté,Fixe,Copain,Disparu,Chiot,Tonne,Blague,Acide,Sa canne,Dossier,Boue,Badge,Foule,Mort,Raser,Malade,Anniversaire,Fabriqué,Vite,Desordre,Forces,Outils,Laver,Gagné,Guêpe,Bateau,Saigner,Enterrement,Luxure,Chat
10/3/2022 11:38,,Oui,Femme,18 - 25,Master ou équivalent,amoureux,mari,confortable,orientation,rencontrés,plage,compagne,épaisse,bonne,voiture,concert,tasse,grimper,jaune,cuisine,observer,élever,emploi,bouquin,frissonner,faute,défaut,claque,tracé,suffisant,amoureux,fui,chiot,tonne,blague,acide,il manque un article ici,contrat,boue,insigne,foule,mort,raser,malade,anniversaire,construite,vite,désordre,forces,outils,laver,gagné,abeille,bateau,pleurer,enterrement,pauvreté,chat
10/3/2022 11:45,,Oui,Femme,18 - 25,Master ou équivalent,Collègues,Chien,Solide,Projet,Rencontrés,Pétanque,Amie,Chaude,Bonne,Maison,Jeu,Canne,Grimper,Rose,Fête,Manger,Caresser,Appartement,Calepin,Rêver,Image,Défaut,Pomme,Tracé,Versé,Père,Disparu,Chiot,Tonne,Blague,Acide,Moi,Contrat,Boue,Badge,Foule,Mort,Raser,Malade,Anniversaire,Construite,Vite,Désordre,Forces,Outils,Laver,Gagné,Abeille,Bateau,Pleurer,Enterrement,Bourgeoisie,Chat
10/3/2022 12:55,,Oui,Homme,36 - 45,Doctorat,proches,mari,close,parcours,rencontrés,voiture,montre,chaude,blanche,voisine,cadeau,pipe,grimper,rose,queue,manger,dresser,papier,peignoir,sourire,faute,défaut,cigarette,créé,soldé,chien,fuit,chiot,tonne,surprise,acide,l'hameçon,contrat,boue,pass,cohue,mort,raser,malade,anniversaire,peinte,vite,pagaille,forces,outils,laver,gagné,guêpe,bâteau,pleurer,enterrement,rue,chat
10/3/2022 14:03,,Oui,Femme,18 - 25,Master ou équivalent,amis,mari,rangée,projet,débrouillés,fleur,clef,épaisse,salée,fête,break,cheville,avancer,bleu,manche,lui,dompter,cahier,châle,rêver,épitaphe,péché,sucette,creusé,garanti,copain,fuit,chiot,tonne,surprise,acide,lui,contrat,boue,badge,foule,mort,laver,malade,anniversaire,construite,vite,pagaille,forces,outils,laver,gagné,abeille,rafiot,pleurer,enterrement,pauvreté,chat
10/3/2022 17:15,,Oui,Femme,36 - 45,"BTS, DUT, licence ou équivalent",Cousins,mari,Belle,Projet,Rencontrés,République,Écharpe,Chaude,Assaisonnée,Rue,Puzzle,Poupée,Voler,Orange,Mendicité,Rayures,Éduquer,Job,Sac,Voyager,Erreur,Atout,Fleur,Anticipé,Élevée,Ami,Filé,Chiot,Tonne,Blague,Acide,Lui,Contrat,Boue,Mandat,Foule,Mort,Raser,Malade,Anniversaire,Confectionnée,Vite,Bazar,Forces,Outils,Laver,Gagné,Abeille,Bateau,Saigner,Enterrement,Pauvreté,Chat
10/3/2022 18:53,,Oui,Homme,26 - 35,Master ou équivalent,Pareils,Chien,Belle,Projet,Trompés,Nation,Fois,Epaisse,Salée,Cuisine,Jeu,Robe,Grimper,Rose,Caisse,Lui-même,Dresser,Emploi,livre,Dormir,Adresse,Atout,Tasse,Emprunté,Paye,Père,Fuit,Chiot,Tonne,Blague,Acide,Terre,contrat,Boue,badge,Attente,Mort,Raser,Malade,anniversaire,Construit,Vite,Bazar,Forces,Outils,Laver,Gagné,abeille,bateau,Pleurer,Enterrement,pauvreté,Chat
10/3/2022 19:05,,Oui,Femme,18 - 25,Master ou équivalent,gentils,père,propre,parcours,retrouvés,Suisse,dent,épaisse,bonne,rue,jeu,jambe,voler,bleu,manche,manger,nourrir,appartement,livre,pleurer,faute,défaut,rose,appris,adapté,ami,filé,chiot,tonne,blague,acide,canne,contrat,boue,badge,foule,mort,raser,malade,anniversaire,construite,vite,fouilli,forces,revenus,laver,gagné,abeille,bateau,pleurer,enterrement,pauvreté,chat
11/3/2022 15:03,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/2022 15:24,,Oui,Femme,18 - 25,"Baccalauréat général, technologique,professionel ou équivalent",Épuisant,Père,chère,Esprit,Habillé,Voiture,Chaussure,Lourde,Bonne,Cuisine,dessin,Jambe,Marcher,Bleu,Vaisselle,L’école,Élever,Chemin,Magasine,Rêver,En-tête,Atout,Douche,Éclairé,Compatible,Chien,Fuit,Chiot,Tonne,Blagues,Amère,L’hameçon,Contrat,Boue,Badge,Attraction,Mort,Raser,Malade,Anniversaire,Fabriqué,Vite,Désordre,Forces,Outils,Laver,Gagné,Abeille,Bateau,Pleurer,Enterrement,Pauvreté,Chat
11/3/2022 18:11,,Oui,Femme,56 - 65,Master ou équivalent,Freres,Chien,Rangée,Caractère,Debrouillés,Vie,Partie,Grande,Bonne,Tronçonneuse,Cache-cache,Jambe,S envoler,Violet,Cuisine,Manger,Attraper,Ami,Chapeau,Rire,Erreur,Défaut,Fleur,Repéré,Exact,Chien,Disparu,Chiot,Tonne,Blague,Acide,Hameçon,Contrat,Poussière,Insigne,Foule,Mort,Raser,Malade,Anniversaire,Construite,Vite,Désordre,Forcesquestion,Outils,Laver,Gagné,Guêpe,Bateau,Pleurer,Enterrement,Pauvreté,Chaton
11/3/2022 21:06,,Oui,Femme,26 - 35,Master ou équivalent,Amis,Chien,Hantée,Comportement,Rencontres,Vie,Idée,Chaude,Recommandée,Pluie,jeu,Canne,Courir,Bleu,Négociation,Cote,Dresser,Appartement,Livre,Voyager,Erreur,Défaut,Bise,Décidés,Suffisant,Mari,Fui,Chiot,Tonne,Blague,Rafraîchissant,Hameçon,Signaler,Boue,Badge,Foule,Mort,Raser,Malade,Anniversaire,Construite,Vite,Désordre,Forces,Outils,Laver,Gagné,Abeille,Bateau,Pleurer,Enterrement,Luxure,Chat
12/3/2022 0:45,,Oui,Femme,18 - 25,Master ou équivalent,Énervés,Chien,Hantée,Passé,Occupés,Vie,Partie,Chaude,Bonne,Pièce,Match,Jambe,Miauler,Rose,Manche,Voir,Dompter,Docteur,Portable,Sourire,Phrase,Défaut,Claque,Connu,Suffisant,Chéri,Déguerpit,Chiot,Tonne,Surprise,Sucré,Aiguille,Contrat,Terre,Badge,Foule,Mort,Tondre,Malade,Anniversaire,Construite,Vite,Pagaille,Forces,Moyens,Laver,Gagné,Abeille,Bateau,Pleurer,Enterrement,Pauvreté,Chat
13/03/2022 19:16:53,,Oui,Homme,18 - 25,Master ou équivalent,Cousins,Père,Hantée,Intérêt,Organisés,Voiture,Partie,Isolante,Bonne,Rue,Jeu,Bague,Courir,Blanc,Manche,Manger,Domestiquer,Remède,Carnet,Rire,Faute,Atout,Claque,Connu,Élevé,Âne,Fuit,Chiot,Tonne,Blague,Acide,Hameçon,Contrat,Boue,Badge,Foule,Mort,Raser,Malade,Anniversaire,Construite,Vite,Bordel,Forces,Outils,Laver,Performé,Guêpe,Bateau,Pleurer,Enterrement,Pauvreté,Chat
15/03/2022 00:50:41,,Oui,Homme,26 - 35,Master ou équivalent,d'accord,mari,bien,passé,habilés,tablette,capacité,épaisse,bonne,mer,boucan,montre,trouner,blanc,camelote,voir,dompter,copain,cahier,rêver,traduction,défaut,correction,pris,versé,copain,filé,chiot,tonne,suprise,frais,hameçon,contrat,paille,badge,foule,mort,raser,malade,brevet,construit,vite,bazard,forces,mains,laver,gagné,abeille,cannoé,pleurer,enterrement,haute,chat
