Predictable end sentence,Unpredictable end sentence,target,pred_num_letters,pred_end_n_LPC,pred_num_words,unpred_num_letters,unpred_end_n_LPC,unpred_num_words,delta_tletters,delta_words,phon_pred,phon_unpred
Bernard l’avait accueilli avec un thé à la menthe.,Isabelle était sortie cueillir un bouquet de menthe.,menthe,41.0,"12, except ['bernard', 'l’avait'], check the cv for: {'un': 1, 'la': 1}",9.0,44.0,"19, check the cv for: {'isabelle': 4, 'était': 2, 'sortie': 3, 'un': 1, 'de': 1}",8.0,-3.0,1.0,"a-k9-ji   a-vE-k   1   te   a   la   m@-t   ,except ['bernard', 'l’avait'], check the phon for: {'un': '1', 'la': 'la'}","i-za-bE-l   e-tE   sO-R-ti   k9-j-i-R   1   bu-kE   d2   m@-t   ,check the cv for: {'isabelle': 'izabEl', 'était': 'etE', 'sortie': 'sORti', 'un': '1', 'de': 'd2'}"
Elle a emporté son nouvel appareil pour prendre de belles photos.,Son père avait dans le temps une incroyable collection de photos.,photos,54.0,"26, check the cv for: {'a': 1, 'emporté': 4, 'son': 1, 'pour': 2, 'de': 1, 'belles': 2}",11.0,54.0,"25, check the cv for: {'son': 1, 'avait': 2, 'le': 1, 'une': 2, 'incroyable': 7, 'de': 1}",11.0,0.0,0.0,"E-l   a   @-pO-R-te   s§   nu-vE-l   a-pa-RE-j   pu-R   p-R@-d-R   d2   bE-l   fo-to   ,check the cv for: {'a': 'a', 'emporté': '@pORte', 'son': 's§', 'pour': 'puR', 'de': 'd2', 'belles': 'bEl'}","s§   pE-R   a-vE   d@   l2   t@   y-n   5-k-R-wa-ja-b-l   ko-lE-k-s-j§   d2   fo-to   ,check the cv for: {'son': 's§', 'avait': 'avE', 'le': 'l2', 'une': 'yn', 'incroyable': '5kRwajabl', 'de': 'd2'}"
On fait le cidre avec le jus des pommes.,Son ami a toujours adoré manger des pommes.,pommes,31.0,"14, check the cv for: {'on': 1, 'fait': 1, 'le': 1, 'pommes': 2}",9.0,35.0,"15, check the cv for: {'son': 1, 'ami': 2, 'a': 1, 'manger': 2, 'pommes': 2}",8.0,-4.0,1.0,"§   fE   l2   si-d-R   a-vE-k   l2   Zy   de   pO-m   ,check the cv for: {'on': '§', 'fait': 'fE', 'le': 'l2', 'pommes': 'pOm'}","s§   a-mi   a   tu-Zu-R   a-do-Re   m@-Ze   de   pO-m   ,check the cv for: {'son': 's§', 'ami': 'ami', 'a': 'a', 'manger': 'm@Ze', 'pommes': 'pOm'}"
Les pompiers ont enfin récupéré le chat coincé en haut d'un arbre.,Nous sommes descendu de la voiture et avons vu un bel arbre.,arbre,54.0,"22, except [""d'un""], check the cv for: {'les': 1, 'pompiers': 3, 'ont': 1, 'le': 1, 'coincé': 3, 'en': 1, 'haut': 1}",12.0,48.0,"23, check the cv for: {'sommes': 2, 'de': 1, 'la': 1, 'voiture': 4, 'avons': 2, 'vu': 1, 'un': 1}",12.0,6.0,0.0,"le   p§-p-je   §   @-f5   Re-ky-pe-Re   l2   Sa   k-w5-se   @   o   a-R-b-R   ,except [""d'un""], check the phon for: {'les': 'le', 'pompiers': 'p§pje', 'ont': '§', 'le': 'l2', 'coincé': 'kw5se', 'en': '@', 'haut': 'o'}","nu   sO-m   de-s@-dy   d2   la   v-wa-ty-R   e   a-v§   vy   1   bE-l   a-R-b-R   ,check the cv for: {'sommes': 'sOm', 'de': 'd2', 'la': 'la', 'voiture': 'vwatyR', 'avons': 'av§', 'vu': 'vy', 'un': '1'}"
"La gare est encore très loin, et nous allons rater notre train.","Nous avons enfin fini nos examens, et nous allons prendre le train.",train,50.0,"22, check the cv for: {'la': 1, 'gare': 2, 'est': 1, 'notre': 3}",12.0,54.0,"23, check the cv for: {'avons': 2, 'fini': 2, 'le': 1}",12.0,-4.0,0.0,"la   ga-R   e   @-kO-R   t-RE   l-w5   e   nu   a-l§   Ra-te   nO-t-R   t-R5   ,check the cv for: {'la': 'la', 'gare': 'gaR', 'est': 'e', 'notre': 'nOtR'}","nu   a-v§   @-f5   fi-ni   no   E-g-za-m5   e   nu   a-l§   p-R@-d-R   l2   t-R5   ,check the cv for: {'avons': 'av§', 'fini': 'fini', 'le': 'l2'}"
"Au printemps dans le jardin, son père tondait la pelouse.","En été à la mer, les enfants jouaient sur la pelouse.",pelouse,46.0,"15, except ['pelouse'], check the cv for: {'le': 1, 'son': 1, 'la': 1}",10.0,41.0,"15, except ['pelouse'], check the cv for: {'en': 1, 'été': 2, 'la': 1, 'les': 1, 'sur': 2}",11.0,5.0,-1.0,"o   p-R5-t@   d@   l2   Za-R-d5   s§   pE-R   t§-dE   la   ,except ['pelouse'], check the phon for: {'le': 'l2', 'son': 's§', 'la': 'la'}","@   e-te   a   la   mE-R   le   @-f@   Z-wE   sy-R   la   ,except ['pelouse'], check the phon for: {'en': '@', 'été': 'ete', 'la': 'la', 'les': 'le', 'sur': 'syR'}"
"Dès sa majorité, il s’était engagé dans l’armée.","Depuis trois ans, elle travaillait dans l’armée.",armée,39.0,"12, except ['s’était', 'l’armée'], check the cv for: {'sa': 1, 'il': 2, 'engagé': 3}",8.0,40.0,"11, except ['depuis', 'l’armée'], check the cv for: {}",7.0,-1.0,1.0,"dE   sa   ma-Zo-Ri-te   i-l   @-ga-Ze   d@   ,except ['s’était', 'l’armée'], check the phon for: {'sa': 'sa', 'il': 'il', 'engagé': '@gaZe'}","t-R-wa   @   E-l   t-Ra-va-jE   d@   ,except ['depuis', 'l’armée'], check the phon for: {}"
Après cette grosse bêtise il rougit de honte,"L'après-midi, il su pourquoi il avait honte.",honte,37.0,"18, check the cv for: {'après': 3, 'grosse': 3, 'il': 2, 'de': 1}",8.0,36.0,"15, except [""l'après""], check the cv for: {'midi': 2, 'il': 2, 'su': 1, 'pourquoi': 4, 'avait': 2}",8.0,1.0,0.0,"a-p-RE   sE-t   g-Ro-s   be-ti-z   i-l   Ru-Zi   d2   §-t   ,check the cv for: {'après': 'apRE', 'grosse': 'gRos', 'il': 'il', 'de': 'd2'}","mi-di   i-l   sy   pu-R-k-wa   i-l   a-vE   §-t   ,except [""l'après""], check the phon for: {'midi': 'midi', 'il': 'il', 'su': 'sy', 'pourquoi': 'puRkwa', 'avait': 'avE'}"
"Après sa panne, un passant l'a aidé à pousser sa voiture","Comme ses voisins, elle a elle-même repeint sa voiture",voiture,45.0,"19, except [""l'a""], check the cv for: {'après': 3, 'sa': 1, 'un': 1, 'passant': 2, 'voiture': 4}",11.0,45.0,"18, except ['repeint'], check the cv for: {'comme': 2, 'ses': 1, 'voisins': 3, 'a': 1, 'même': 2, 'sa': 1, 'voiture': 4}",10.0,0.0,1.0,"a-p-RE   sa   pa-n   1   pa-s@   E-de   a   pu-se   sa   v-wa-ty-R   ,except [""l'a""], check the phon for: {'après': 'apRE', 'sa': 'sa', 'un': '1', 'passant': 'pas@', 'voiture': 'vwatyR'}","kO-m   se   v-wa-z5   E-l   a   E-l   mE-m   sa   v-wa-ty-R   ,except ['repeint'], check the phon for: {'comme': 'kOm', 'ses': 'se', 'voisins': 'vwaz5', 'a': 'a', 'même': 'mEm', 'sa': 'sa', 'voiture': 'vwatyR'}"
"Elevé dans une ferme, il rêve de retourner vivre à la campagne.","A la fin des vacances, Eloïse décida de retourner dans la campagne.",campagne,50.0,"19, except ['elevé', 'retourner'], check the cv for: {'une': 2, 'ferme': 3, 'il': 2, 'rêve': 2, 'de': 1, 'vivre': 3, 'la': 1}",12.0,54.0,"16, except ['eloïse', 'retourner'], check the cv for: {'a': 1, 'la': 1, 'fin': 1, 'de': 1}",12.0,-4.0,0.0,"d@   y-n   fE-R-m   i-l   RE-v   d2   vi-v-R   a   la   k@-pa-N   ,except ['elevé', 'retourner'], check the phon for: {'une': 'yn', 'ferme': 'fERm', 'il': 'il', 'rêve': 'REv', 'de': 'd2', 'vivre': 'vivR', 'la': 'la'}","a   la   f5   de   va-k@-s   de-si-da   d2   d@   la   k@-pa-N   ,except ['eloïse', 'retourner'], check the phon for: {'a': 'a', 'la': 'la', 'fin': 'f5', 'de': 'd2'}"
Elle aime ce film sans en comprendre le sens,Georges pense que cette histoire a un sens,sens,36.0,"17, check the cv for: {'ce': 1, 'en': 1, 'le': 1, 'sens': 1}",9.0,35.0,"13, except ['georges'], check the cv for: {'que': 1, 'a': 1, 'un': 1, 'sens': 1}",8.0,1.0,1.0,"E-l   E-m   s2   fi-l-m   s@   @   k§-p-R@-d-R   l2   s@   ,check the cv for: {'ce': 's2', 'en': '@', 'le': 'l2', 'sens': 's@'}","p@-s   k2   sE-t   i-s-t-wa-R   a   1   s@   ,except ['georges'], check the phon for: {'que': 'k2', 'a': 'a', 'un': '1', 'sens': 's@'}"
Il va acheter des actions cotées en bourse,Elle n'est encore jamais passée devant la bourse,bourse,35.0,"14, except ['acheter'], check the cv for: {'il': 2, 'va': 1, 'actions': 4, 'cotées': 2, 'en': 1}",8.0,41.0,"13, except [""n'est"", 'devant'], check the cv for: {'passée': 2, 'la': 1}",8.0,-6.0,0.0,"i-l   va   de   a-k-s-j§   ko-te   @   bu-R-s   ,except ['acheter'], check the phon for: {'il': 'il', 'va': 'va', 'actions': 'aksj§', 'cotées': 'kote', 'en': '@'}","E-l   @-kO-R   Za-mE   pa-se   la   bu-R-s   ,except [""n'est"", 'devant'], check the phon for: {'passée': 'pase', 'la': 'la'}"
Sa vue a diminué et elle doit acheter une nouvelle paire de lunettes.,Il aime le commerce et a décidé d'ouvrir un magasin de lunettes.,lunettes,56.0,"23, except ['acheter'], check the cv for: {'sa': 1, 'vue': 1, 'a': 1, 'diminué': 4, 'doit': 2, 'une': 2, 'nouvelle': 3, 'paire': 2, 'de': 1}",13.0,52.0,"22, except [""d'ouvrir""], check the cv for: {'il': 2, 'le': 1, 'commerce': 4, 'a': 1, 'décidé': 3, 'un': 1, 'de': 1}",12.0,4.0,1.0,"sa   vy   a   di-mi-n-8e   e   E-l   d-wa   y-n   nu-vE-l   pE-R   d2   ly-nE-t   ,except ['acheter'], check the phon for: {'sa': 'sa', 'vue': 'vy', 'a': 'a', 'diminué': 'dimin8e', 'doit': 'dwa', 'une': 'yn', 'nouvelle': 'nuvEl', 'paire': 'pER', 'de': 'd2'}","i-l   E-m   l2   ko-mE-R-s   e   a   de-si-de   1   ma-ga-z5   d2   ly-nE-t   ,except [""d'ouvrir""], check the phon for: {'il': 'il', 'le': 'l2', 'commerce': 'komERs', 'a': 'a', 'décidé': 'deside', 'un': '1', 'de': 'd2'}"
Le petit garçon mange son steak avec un couteau et une fourchette.,La vieille femme met dans son sac un petit briquet et une fourchette.,fourchette,54.0,"23, except ['petit'], check the cv for: {'le': 1, 'son': 1, 'un': 1, 'une': 2}",12.0,56.0,"22, except ['petit'], check the cv for: {'la': 1, 'vieille': 3, 'son': 1, 'un': 1, 'une': 2}",13.0,-2.0,-1.0,"l2   ga-R-s§   m@-Z   s§   s-tE-k   a-vE-k   1   ku-to   e   y-n   fu-R-SE-t   ,except ['petit'], check the phon for: {'le': 'l2', 'son': 's§', 'un': '1', 'une': 'yn'}","la   v-jE-j   fa-m   mE   d@   s§   sa-k   1   b-Ri-kE   e   y-n   fu-R-SE-t   ,except ['petit'], check the phon for: {'la': 'la', 'vieille': 'vjEj', 'son': 's§', 'un': '1', 'une': 'yn'}"
Dès la première goutte de pluie elle a ouvert son parapluie.,Dès son arrivée dans le grand magasin elle s'est acheté un parapluie.,parapluie,49.0,"25, check the cv for: {'la': 1, 'première': 5, 'goutte': 2, 'de': 1, 'a': 1, 'ouvert': 3, 'son': 1}",11.0,57.0,"20, except [""s'est"", 'acheté'], check the cv for: {'son': 1, 'arrivée': 3, 'le': 1, 'grand': 2, 'un': 1}",12.0,-8.0,-1.0,"dE   la   p-R2-m-jE-R   gu-t   d2   p-l-8i   E-l   a   u-vE-R   s§   pa-Ra-p-l-8i   ,check the cv for: {'la': 'la', 'première': 'pR2mjER', 'goutte': 'gut', 'de': 'd2', 'a': 'a', 'ouvert': 'uvER', 'son': 's§'}","dE   s§   a-Ri-ve   d@   l2   g-R@   ma-ga-z5   E-l   1   pa-Ra-p-l-8i   ,except [""s'est"", 'acheté'], check the phon for: {'son': 's§', 'arrivée': 'aRive', 'le': 'l2', 'grand': 'gR@', 'un': '1'}"
