Predictable end sentence,Unpredictable end sentence,Taget word
"En cuisinant, Luc s'est coupé le doigt avec un couteau.","En rentrant, Léa trouva sur la table son vieux couteau.",couteau
Gilles préfère les films comiques qui le font rire.,Alice lit un vieux roman d'aventure qui la fait rire.,rire
"Après avoir rendu sa copie, Lucie a réalisé qu'elle avait fait une erreur.","Avant de répondre, Louis a regardé si le résumé comportait une erreur.",erreur
"Selon la Bible, le meurtre est un très grave péché.","Dans leur culture, la curiosité avait toujours été un péché.",péché
"Après s'être lavé les mains, Nathan les a séchées avec une serviette.","Dès leur retour à la maison, Valentin lui a donné une serviette.",serviette
Les hommes ont failli tomber dans le trou qu'ils avaient creusé.,Les soldats passent toujours par le chemin qu'ils ont creusé.,creusé
"Le garçon n'avait rien fait de mal, et la punition n'était pas juste.","La comptable venait d'arriver, et pensait que son salaire n'était pas juste.",juste
Chris dit que son chien avait toujours été son meilleur ami.,Julia était de nouveau partie en vacances avec son ami. ,ami
Ils ont cherché le voleur mais celui-ci avait déjà disparu.,Elles étaient venu voir le maire mais il avait encore disparu.,disparu
Un très jeune chien s'appelle un chiot.,Dans cette boite se cache un chiot.,chiot
L'énorme valise semblait peser une tonne.,Cet espace peut en stocker une tonne.,tonne
J'ai caché ses clés pour lui faire une mauvaise blague.,Elle ne l'écoutait plus car il racontait la même blague.,blague
Le jus de citron est très acide.,Ce plat est beaucoup trop acide.,acide
Le pêcheur a accroché un ver de terre sur l'hameçon.,L'étudiant est très vite allé acheter un nouvel hameçon.,hameçon
Il voulait travailler pour mon entreprise et n'a pas hésité à signer le contrat.,Il a rapidement demandé un rendez-vous après avoir relu son nouveau contrat.,contrat
"Après une ballade dans les champs, mes bottes étaient couvertes de boue.","Après avoir été lavé, le col n'était plus taché de boue.",boue
"Pour entrer dans la maison, l'inspecteur a dû montrer son badge.","Pour avoir participé à la course, l'enfant a reçu un badge.",badge
L'annonce de soldes très importantes a attiré une immense foule.,La boutique d'accessoires était dans un quartier éloigné de la foule.,foule
Manon a été triste de découvrir que son poisson rouge était mort.,Dina a été surprise d'apprendre que son meilleur ami était mort.,mort
Elle a suggéré à son petit ami barbu de se raser.,Il a dit à son frère qu'il devait vraiment se raser.,raser
Il avait peur des microbes et craignait de tomber malade.,Il est entré dans cette chambre et est maintenant malade.,malade
La fillette a reçu ce cadeau pour son anniversaire.,Elle s'est acheté une tenue pour son anniversaire.,anniversaire
Albert vivait dans une cabane qu'il avait lui-même construite.,Hugo regardait la grande fontaine que sa mère avait construite.,construite
Pour arriver à temps il aurait dû marcher plus vite.,"Pour ne pas avoir faim, il aurait dû manger plus vite.",vite
"Avec des vêtements éparpillés partout, sa chambre était en désordre.","Après l'élection municipale, toute la ville était en désordre.",désordre
"Pour ouvrir la porte, Thomas a tiré de toutes ses forces.","Pour réussir à l'examen, Emma ne manquait pas de forces.",forces
Robert pourrait réparer le vélo s'il avait de meilleurs outils.,Elle doit encore apprendre à utiliser les bons outils.,outils
"Après deux semaines, il y avait plein de vêtements sales à laver.","Après quelques mois, ils ont engagé un homme pour tout laver.",laver
Kevin était deçu que son équipe de basket n'ait pas gagné.,Camille était très surprise que son mari n'ait pas gagné. ,gagné
En s'approchant d'une ruche elle a été piquée par une abeille.,En regardant son livre il a deviné l'espèce de l'abeille.,abeille
Le pêcheur aimait passer la journée en mer sur son bateau.,L'équipe s'est entrainée de très longues semaines sur son bateau.,bateau
La petite fille s'est cognée et s'est immédiatement mise à pleurer.,Le vieil homme était assis et s'est brusquement mis à pleurer.,pleurer
"Pour honorer la mort de son collègue, Kim a assisté à son enterrement.","Pour aider la famille de sa femme, Diego a organisé tout l'enterrement.",enterrement
Il apprécie la richesse car il a grandi dans la pauvreté.,Mon professeur m'a dit qu'il avait toujours eu peur de la pauvreté.,pauvreté
J'ai entendu miauler un chat.,Je suis allé acheter un chat.,chat
