Predictable end sentence,Unpredictable end sentence,Taget word,pred_num_letters,pred_end_n_LPC,pred_num_words,unpred_num_letters,unpred_end_n_LPC,unpred_num_words,delta_tletters,delta_words,phon_pred,phon_unpred
"Pendant la randonnée, les pieds de Lila lui faisaient plus mal à chaque pas.","Pendant la réunion, les enfants de sa sœur ont décidé de faire un pas.",pas,61.0,"20, except ['lila', 'faisaient'], check the cv for: {'pendant': 2, 'la': 1, 'randonnée': 3, 'les': 1, 'de': 1, 'lui': 2, 'plus': 2, 'mal': 2, 'pas': 1}",14.0,55.0,"21, except ['sœur'], check the cv for: {'pendant': 2, 'la': 1, 'les': 1, 'de': 1, 'sa': 1, 'ont': 1, 'décidé': 3, 'un': 1, 'pas': 1}",14.0,6.0,0.0,"p@-d@   la   R@-do-ne   le   p-je   d2   l-8i   p-ly   ma-l   a   Sa-k   pa   ,except ['lila', 'faisaient'], check the phon for: {'pendant': 'p@d@', 'la': 'la', 'randonnée': 'R@done', 'les': 'le', 'de': 'd2', 'lui': 'l8i', 'plus': 'ply', 'mal': 'mal', 'pas': 'pa'}","p@-d@   la   Re-y-n-j§   le   @-f@   d2   sa   §   de-si-de   d2   fE-R   1   pa   ,except ['sœur'], check the phon for: {'pendant': 'p@d@', 'la': 'la', 'les': 'le', 'de': 'd2', 'sa': 'sa', 'ont': '§', 'décidé': 'deside', 'un': '1', 'pas': 'pa'}"
Thais était en retard et n'arrêtait pas de regarder sa montre.,Elsa était tombée par terre et avait encore cassé sa montre.,montre,51.0,"10, except ['thais', 'retard', ""n'arrêtait"", 'regarder'], check the cv for: {'était': 2, 'en': 1, 'pas': 1, 'de': 1, 'sa': 1, 'montre': 3}",11.0,49.0,"20, except ['elsa'], check the cv for: {'était': 2, 'tombée': 2, 'par': 2, 'terre': 2, 'avait': 2, 'cassé': 2, 'sa': 1, 'montre': 3}",11.0,2.0,0.0,"e-tE   @   e   pa   d2   sa   m§-t-R   ,except ['thais', 'retard', ""n'arrêtait"", 'regarder'], check the phon for: {'était': 'etE', 'en': '@', 'pas': 'pa', 'de': 'd2', 'sa': 'sa', 'montre': 'm§tR'}","e-tE   t§-be   pa-R   tE-R   e   a-vE   @-kO-R   ka-se   sa   m§-t-R   ,except ['elsa'], check the phon for: {'était': 'etE', 'tombée': 't§be', 'par': 'paR', 'terre': 'tER', 'avait': 'avE', 'cassé': 'kase', 'sa': 'sa', 'montre': 'm§tR'}"
Le petit oiseau s'est cassé une aile et ne peut plus voler.,Un scarabée est sorti du sac et a commencé à voler.,voler,47.0,"16, except ['petit', ""s'est""], check the cv for: {'le': 1, 'cassé': 2, 'une': 2, 'plus': 2}",12.0,40.0,"20, check the cv for: {'un': 1, 'est': 1, 'a': 1}",11.0,7.0,1.0,"l2   wa-zo   ka-se   y-n   E-l   e   n2   p2   p-ly   vo-le   ,except ['petit', ""s'est""], check the phon for: {'le': 'l2', 'cassé': 'kase', 'une': 'yn', 'plus': 'ply'}","1   s-ka-Ra-be   e   sO-R-ti   dy   sa-k   e   a   ko-m@-se   a   vo-le   ,check the cv for: {'un': '1', 'est': 'e', 'a': 'a'}"
La couleur la plus associée à la colère est le rouge.,Sa nouvelle chambre a un mur entièrement peint en rouge.,rouge,42.0,"20, check the cv for: {'la': 1, 'plus': 2, 'associée': 4, 'est': 1, 'le': 1, 'rouge': 2}",11.0,46.0,"15, except ['entièrement'], check the cv for: {'sa': 1, 'nouvelle': 3, 'chambre': 3, 'a': 1, 'un': 1, 'peint': 1, 'en': 1, 'rouge': 2}",10.0,-4.0,1.0,"la   ku-l9-R   la   p-ly   a-so-s-je   a   la   ko-lE-R   e   l2   Ru-Z   ,check the cv for: {'la': 'la', 'plus': 'ply', 'associée': 'asosje', 'est': 'e', 'le': 'l2', 'rouge': 'RuZ'}","sa   nu-vE-l   S@-b-R   a   1   my-R   p5   @   Ru-Z   ,except ['entièrement'], check the phon for: {'sa': 'sa', 'nouvelle': 'nuvEl', 'chambre': 'S@bR', 'a': 'a', 'un': '1', 'peint': 'p5', 'en': '@', 'rouge': 'RuZ'}"
Les tensions entre les pays pourraient aboutir à la guerre.,Les marchands de légumes n'ont pas l'habitude de faire la guerre.,guerre,49.0,"20, check the cv for: {'les': 1, 'entre': 3, 'la': 1}",10.0,54.0,"15, except [""n'ont"", ""l'habitude""], check the cv for: {'les': 1, 'marchands': 3, 'de': 1, 'pas': 1, 'la': 1}",11.0,-5.0,-1.0,"le   t@-s-j§   @-t-R   le   pe-i   pu-RE   a-bu-ti-R   a   la   gE-R   ,check the cv for: {'les': 'le', 'entre': '@tR', 'la': 'la'}","le   ma-R-S@   d2   le-gy-m   pa   d2   fE-R   la   gE-R   ,except [""n'ont"", ""l'habitude""], check the phon for: {'les': 'le', 'marchands': 'maRS@', 'de': 'd2', 'pas': 'pa', 'la': 'la'}"
Gaspard était perdu et ne savait pas quoi faire.,Léo était choqué devant cette chose étrange à faire.,faire,39.0,"18, check the cv for: {'était': 2, 'perdu': 3, 'pas': 1, 'quoi': 2}",9.0,43.0,"15, except ['léo', 'devant'], check the cv for: {'était': 2, 'choqué': 2, 'étrange': 4}",9.0,-4.0,0.0,"ga-s-pa-R   e-tE   pE-R-dy   e   n2   sa-vE   pa   k-wa   fE-R   ,check the cv for: {'était': 'etE', 'perdu': 'pERdy', 'pas': 'pa', 'quoi': 'kwa'}","e-tE   So-ke   sE-t   So-z   e-t-R@-Z   a   fE-R   ,except ['léo', 'devant'], check the phon for: {'était': 'etE', 'choqué': 'Soke', 'étrange': 'etR@Z'}"
La mère inquiète avait plusieurs bouches à nourrir.,Mon frère possédait des animaux difficiles à nourrir.,nourrir,43.0,"20, check the cv for: {'la': 1, 'inquiète': 4, 'avait': 2, 'plusieurs': 5, 'bouches': 2}",8.0,45.0,"19, check the cv for: {'mon': 1, 'animaux': 3}",8.0,-2.0,0.0,"la   mE-R   5-k-jE-t   a-vE   p-ly-z-j9-R   bu-S   a   nu-Ri-R   ,check the cv for: {'la': 'la', 'inquiète': '5kjEt', 'avait': 'avE', 'plusieurs': 'plyzj9R', 'bouches': 'buS'}","m§   f-RE-R   po-se-dE   de   a-ni-mo   di-fi-si-l   a   nu-Ri-R   ,check the cv for: {'mon': 'm§', 'animaux': 'animo'}"
Arielle a été licenciée et recherche un autre emploi.,Arthur a cherché et a rapidement retrouvé un emploi.,emploi,44.0,"16, except ['arielle', 'recherche'], check the cv for: {'a': 1, 'été': 2, 'licenciée': 4, 'un': 1, 'autre': 3}",9.0,43.0,"11, except ['arthur', 'rapidement', 'retrouvé'], check the cv for: {'a': 1, 'un': 1}",9.0,1.0,0.0,"a   e-te   li-s@-s-je   e   1   o-t-R   @-p-l-wa   ,except ['arielle', 'recherche'], check the phon for: {'a': 'a', 'été': 'ete', 'licenciée': 'lis@sje', 'un': '1', 'autre': 'otR'}","a   SE-R-Se   e   a   1   @-p-l-wa   ,except ['arthur', 'rapidement', 'retrouvé'], check the phon for: {'a': 'a', 'un': '1'}"
"En cuisinant, Luc s'est coupé le doigt avec un couteau.","En rentrant, Léa trouva sur la table son vieux couteau.",couteau,44.0,"16, except ['luc', ""s'est""], check the cv for: {'en': 1, 'coupé': 2, 'le': 1, 'un': 1}",10.0,44.0,"18, except ['léa'], check the cv for: {'en': 1, 'rentrant': 3, 'sur': 2, 'la': 1, 'table': 3, 'son': 1, 'vieux': 2}",10.0,0.0,0.0,"@   k-8i-zi-n@   ku-pe   l2   d-wa   a-vE-k   1   ku-to   ,except ['luc', ""s'est""], check the phon for: {'en': '@', 'coupé': 'kupe', 'le': 'l2', 'un': '1'}","@   R@-t-R@   t-Ru-va   sy-R   la   ta-b-l   s§   v-j2   ku-to   ,except ['léa'], check the phon for: {'en': '@', 'rentrant': 'R@tR@', 'sur': 'syR', 'la': 'la', 'table': 'tabl', 'son': 's§', 'vieux': 'vj2'}"
Gilles préfère les films comiques qui le font rire.,Alice lit un vieux roman d'aventure qui la fait rire.,rire,42.0,"18, check the cv for: {'les': 1, 'comiques': 3, 'qui': 1, 'le': 1, 'rire': 2}",9.0,43.0,"11, except ['alice', ""d'aventure""], check the cv for: {'lit': 1, 'un': 1, 'vieux': 2, 'roman': 2, 'qui': 1, 'la': 1, 'fait': 1, 'rire': 2}",10.0,-1.0,-1.0,"Zi-l   p-Re-fE-R   le   fi-l-m   ko-mi-k   ki   l2   f§   Ri-R   ,check the cv for: {'les': 'le', 'comiques': 'komik', 'qui': 'ki', 'le': 'l2', 'rire': 'RiR'}","li   1   v-j2   Ro-m@   ki   la   fE   Ri-R   ,except ['alice', ""d'aventure""], check the phon for: {'lit': 'li', 'un': '1', 'vieux': 'vj2', 'roman': 'Rom@', 'qui': 'ki', 'la': 'la', 'fait': 'fE', 'rire': 'RiR'}"
"Après avoir rendu sa copie, Lucie a réalisé qu'elle avait fait une erreur.","Avant de répondre, Louis a regardé si le résumé comportait une erreur.",erreur,60.0,"25, except ['lucie', ""qu'elle""], check the cv for: {'après': 3, 'avoir': 4, 'rendu': 2, 'sa': 1, 'copie': 2, 'a': 1, 'réalisé': 4, 'avait': 2, 'fait': 1, 'une': 2}",13.0,57.0,"24, except ['regardé'], check the cv for: {'avant': 2, 'de': 1, 'louis': 2, 'a': 1, 'si': 1, 'le': 1, 'résumé': 3, 'une': 2}",12.0,3.0,1.0,"a-p-RE   a-v-wa-R   R@-dy   sa   ko-pi   a   Re-a-li-ze   a-vE   fE   y-n   E-R9-R   ,except ['lucie', ""qu'elle""], check the phon for: {'après': 'apRE', 'avoir': 'avwaR', 'rendu': 'R@dy', 'sa': 'sa', 'copie': 'kopi', 'a': 'a', 'réalisé': 'Realize', 'avait': 'avE', 'fait': 'fE', 'une': 'yn'}","a-v@   d2   Re-p§-d-R   l-wi   a   si   l2   Re-zy-me   k§-pO-R-tE   y-n   E-R9-R   ,except ['regardé'], check the phon for: {'avant': 'av@', 'de': 'd2', 'louis': 'lwi', 'a': 'a', 'si': 'si', 'le': 'l2', 'résumé': 'Rezyme', 'une': 'yn'}"
"Selon la Bible, le meurtre est un très grave péché.","Dans leur culture, la curiosité avait toujours été un péché.",péché,40.0,"18, except ['selon'], check the cv for: {'la': 1, 'le': 1, 'est': 1, 'un': 1, 'grave': 3, 'péché': 2}",10.0,49.0,"23, check the cv for: {'leur': 2, 'la': 1, 'avait': 2, 'été': 2, 'un': 1, 'péché': 2}",10.0,-9.0,0.0,"la   bi-b-l   l2   m9-R-t-R   e   1   t-RE   g-Ra-v   pe-Se   ,except ['selon'], check the phon for: {'la': 'la', 'le': 'l2', 'est': 'e', 'un': '1', 'grave': 'gRav', 'péché': 'peSe'}","d@   l9-R   ky-l-ty-R   la   ky-R-jo-zi-te   a-vE   tu-Zu-R   e-te   1   pe-Se   ,check the cv for: {'leur': 'l9R', 'la': 'la', 'avait': 'avE', 'été': 'ete', 'un': '1', 'péché': 'peSe'}"
"Après s'être lavé les mains, Nathan les a séchées avec une serviette.","Dès leur retour à la maison, Valentin lui a donné une serviette.",serviette,56.0,"21, except [""s'être"", 'nathan'], check the cv for: {'après': 3, 'lavé': 2, 'les': 1, 'a': 1, 'une': 2}",12.0,51.0,"22, except ['retour'], check the cv for: {'leur': 2, 'la': 1, 'lui': 2, 'a': 1, 'donné': 2, 'une': 2}",12.0,5.0,0.0,"a-p-RE   la-ve   le   m5   le   a   se-Se   a-vE-k   y-n   sE-R-v-jE-t   ,except [""s'être"", 'nathan'], check the phon for: {'après': 'apRE', 'lavé': 'lave', 'les': 'le', 'a': 'a', 'une': 'yn'}","dE   l9-R   a   la   mE-z§   va-l@-t5   l-8i   a   do-ne   y-n   sE-R-v-jE-t   ,except ['retour'], check the phon for: {'leur': 'l9R', 'la': 'la', 'lui': 'l8i', 'a': 'a', 'donné': 'done', 'une': 'yn'}"
Les hommes ont failli tomber dans le trou qu'ils avaient creusé.,Les soldats passent toujours par le chemin qu'ils ont creusé.,creusé,53.0,"17, except [""qu'ils""], check the cv for: {'les': 1, 'ont': 1, 'failli': 2, 'le': 1, 'avaient': 2}",11.0,51.0,"16, except ['chemin', ""qu'ils""], check the cv for: {'les': 1, 'par': 2, 'le': 1, 'ont': 1}",10.0,2.0,1.0,"le   O-m   §   fa-ji   t§-be   d@   l2   t-Ru   a-vE   k-R2-ze   ,except [""qu'ils""], check the phon for: {'les': 'le', 'ont': '§', 'failli': 'faji', 'le': 'l2', 'avaient': 'avE'}","le   sO-l-da   pa-s   tu-Zu-R   pa-R   l2   §   k-R2-ze   ,except ['chemin', ""qu'ils""], check the phon for: {'les': 'le', 'par': 'paR', 'le': 'l2', 'ont': '§'}"
"Le garçon n'avait rien fait de mal, et la punition n'était pas juste.","La comptable venait d'arriver, et pensait que son salaire n'était pas juste.",juste,55.0,"20, except [""n'avait"", ""n'était""], check the cv for: {'le': 1, 'rien': 2, 'fait': 1, 'de': 1, 'mal': 2, 'la': 1, 'pas': 1, 'juste': 3}",13.0,63.0,"17, except ['venait', ""d'arriver"", ""n'était""], check the cv for: {'la': 1, 'comptable': 4, 'que': 1, 'son': 1, 'pas': 1, 'juste': 3}",12.0,-8.0,1.0,"l2   ga-R-s§   R-j5   fE   d2   ma-l   e   la   py-ni-s-j§   pa   Zy-s-t   ,except [""n'avait"", ""n'était""], check the phon for: {'le': 'l2', 'rien': 'Rj5', 'fait': 'fE', 'de': 'd2', 'mal': 'mal', 'la': 'la', 'pas': 'pa', 'juste': 'Zyst'}","la   k§-ta-b-l   e   p@-sE   k2   s§   sa-lE-R   pa   Zy-s-t   ,except ['venait', ""d'arriver"", ""n'était""], check the phon for: {'la': 'la', 'comptable': 'k§tabl', 'que': 'k2', 'son': 's§', 'pas': 'pa', 'juste': 'Zyst'}"
Chris dit que son chien avait toujours été son meilleur ami.,Julia était de nouveau partie en vacances avec son ami. ,ami,49.0,"19, except ['chris'], check the cv for: {'dit': 1, 'que': 1, 'son': 1, 'avait': 2, 'été': 2, 'meilleur': 4, 'ami': 2}",11.0,45.0,"18, except ['julia', ''], check the cv for: {'était': 2, 'de': 1, 'nouveau': 2, 'partie': 3, 'en': 1, 'son': 1, 'ami': 2}",11.0,4.0,0.0,"di   k2   s§   S-j5   a-vE   tu-Zu-R   e-te   s§   mE-j-9-R   a-mi   ,except ['chris'], check the phon for: {'dit': 'di', 'que': 'k2', 'son': 's§', 'avait': 'avE', 'été': 'ete', 'meilleur': 'mEj9R', 'ami': 'ami'}","e-tE   d2   nu-vo   pa-R-ti   @   va-k@-s   a-vE-k   s§   a-mi   ,except ['julia', ''], check the phon for: {'était': 'etE', 'de': 'd2', 'nouveau': 'nuvo', 'partie': 'paRti', 'en': '@', 'son': 's§', 'ami': 'ami'}"
Ils ont cherché le voleur mais celui-ci avait déjà disparu.,Elles étaient venu voir le maire mais il avait encore disparu.,disparu,49.0,"20, except ['celui'], check the cv for: {'ont': 1, 'le': 1, 'voleur': 3, 'mais': 1, 'avait': 2, 'déjà': 2, 'disparu': 4}",11.0,51.0,"22, except ['venu'], check the cv for: {'étaient': 2, 'le': 1, 'mais': 1, 'il': 2, 'avait': 2, 'disparu': 4}",11.0,-2.0,0.0,"i-l   §   SE-R-Se   l2   vo-l9-R   mE   si   a-vE   de-Za   di-s-pa-Ry   ,except ['celui'], check the phon for: {'ont': '§', 'le': 'l2', 'voleur': 'vol9R', 'mais': 'mE', 'avait': 'avE', 'déjà': 'deZa', 'disparu': 'dispaRy'}","E-l   e-tE   v-wa-R   l2   mE-R   mE   i-l   a-vE   @-kO-R   di-s-pa-Ry   ,except ['venu'], check the phon for: {'étaient': 'etE', 'le': 'l2', 'mais': 'mE', 'il': 'il', 'avait': 'avE', 'disparu': 'dispaRy'}"
Un très jeune chien s'appelle un chiot.,Dans cette boite se cache un chiot.,chiot,32.0,"10, except [""s'appelle""], check the cv for: {'un': 1, 'jeune': 2}",7.0,28.0,"12, check the cv for: {'cache': 2, 'un': 1}",7.0,4.0,0.0,"1   t-RE   Z9-n   S-j5   1   S-jo   ,except [""s'appelle""], check the phon for: {'un': '1', 'jeune': 'Z9n'}","d@   sE-t   b-wa-t   s2   ka-S   1   S-jo   ,check the cv for: {'cache': 'kaS', 'un': '1'}"
L'énorme valise semblait peser une tonne.,Cet espace peut en stocker une tonne.,tonne,35.0,"12, except [""l'énorme""], check the cv for: {'une': 2, 'tonne': 2}",6.0,30.0,"15, check the cv for: {'espace': 4, 'en': 1, 'une': 2, 'tonne': 2}",7.0,5.0,-1.0,"va-li-z   s@-b-lE   p2-ze   y-n   tO-n   ,except [""l'énorme""], check the phon for: {'une': 'yn', 'tonne': 'tOn'}","sE-t   E-s-pa-s   p2   @   s-to-ke   y-n   tO-n   ,check the cv for: {'espace': 'Espas', 'en': '@', 'une': 'yn', 'tonne': 'tOn'}"
J'ai caché ses clés pour lui faire une mauvaise blague.,Elle ne l'écoutait plus car il racontait la même blague.,blague,45.0,"19, except [""j'ai""], check the cv for: {'caché': 2, 'ses': 1, 'pour': 2, 'lui': 2, 'une': 2, 'blague': 3}",10.0,46.0,"18, except [""l'écoutait""], check the cv for: {'plus': 2, 'car': 2, 'il': 2, 'la': 1, 'même': 2, 'blague': 3}",10.0,-1.0,0.0,"ka-Se   se   k-le   pu-R   l-8i   fE-R   y-n   mo-vE-z   b-la-g   ,except [""j'ai""], check the phon for: {'caché': 'kaSe', 'ses': 'se', 'pour': 'puR', 'lui': 'l8i', 'une': 'yn', 'blague': 'blag'}","E-l   n2   p-ly   ka-R   i-l   Ra-k§-tE   la   mE-m   b-la-g   ,except [""l'écoutait""], check the phon for: {'plus': 'ply', 'car': 'kaR', 'il': 'il', 'la': 'la', 'même': 'mEm', 'blague': 'blag'}"
Le jus de citron est très acide.,Ce plat est beaucoup trop acide.,acide,25.0,"12, check the cv for: {'le': 1, 'de': 1, 'citron': 3, 'est': 1, 'acide': 3}",7.0,26.0,"11, check the cv for: {'ce': 1, 'plat': 2, 'est': 1, 'acide': 3}",6.0,-1.0,1.0,"l2   Zy   d2   si-t-R§   e   t-RE   a-si-d   ,check the cv for: {'le': 'l2', 'de': 'd2', 'citron': 'sitR§', 'est': 'e', 'acide': 'asid'}","s2   p-la   e   bo-ku   t-Ro   a-si-d   ,check the cv for: {'ce': 's2', 'plat': 'pla', 'est': 'e', 'acide': 'asid'}"
